Cinta Luar Biasa,Andmesh,indonesian pop,2019,136,23,58,-12,10,32,256,49,4,72
"Mere Sohneya (From ""Kabir Singh"")",Sachet Tandon,desi pop,2019,136,64,38,-6,22,65,193,12,7,78
bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,56,194,1,12,57
Cómo estás,Ke Personajes,cumbia pop,2019,135,86,59,-2,4,98,227,88,3,84
Gurenge,LiSA,anime rock,2019,135,98,55,-3,8,31,239,43,6,78
Invocada (Participação especial de Léo Santana) - Ao vivo,Ludmilla,baile pop,2019,135,86,78,-4,93,70,157,15,46,67
"Mil Anos - Recorded At Mosh Studios, São Paulo",Jorge & Mateus,sertanejo,2019,135,70,62,-8,8,45,189,6,13,78
Un million par mois,Djadja & Dinaz,french hip hop,2019,135,54,76,-6,13,72,189,85,13,49
A Gente Fez Amor - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,134,94,79,-2,96,83,238,38,8,80
occh1 purpl3 - feat. Marracash,tha Supreme,trap italiana,2019,134,81,66,-5,16,55,188,3,17,82
Skifahren,The Cratez,german hip hop,2019,134,71,72,-7,15,44,163,31,3,76
Un peu de haine,PLK,french hip hop,2019,134,66,77,-7,22,42,168,2,19,63
Wieso tust Du dir das an?,Apache 207,german hip hop,2019,134,48,86,-7,12,46,176,11,3,79
Dans l'univers,Nekfeu,french hip hop,2019,132,42,64,-10,14,20,244,52,4,68
Marie,Koba LaD,french hip hop,2019,132,75,78,-6,12,68,195,13,4,72
Serenata - Ao Vivo,Marília Mendonça,sertanejo,2019,132,71,71,-6,97,74,156,6,6,85
Soy Sabalero,Los Palmeras,argentine rock,2019,132,85,78,-5,8,85,180,56,3,72
Supera - Ao Vivo,Marília Mendonça,sertanejo,2019,132,74,67,-4,96,66,148,31,17,80
Doch in der Nacht,Apache 207,german hip hop,2019,131,83,90,-7,21,71,192,46,10,51
Sentou e Gostou,MC JottaPê,funk carioca,2019,131,67,70,-3,9,72,163,53,6,88
blun7 a swishland,tha Supreme,trap italiana,2019,130,79,69,-6,26,57,168,7,15,79
Gasolina (feat. Gambi),Hamza,belgian hip hop,2019,130,61,95,-8,12,72,179,41,12,54
Hoe Het Danst,Marco Borsato,dutch cabaret,2019,130,86,69,-3,19,42,253,61,36,77
hot girl bummer,blackbear,pop,2019,130,56,78,-7,40,68,185,33,34,74
Kartonyono Medot Janji,Denny Caknan,NA,2019,130,78,73,-6,21,75,262,36,15,69
Lalala,Y2K,pop rap,2019,130,39,84,-8,14,50,161,43,4,77
Popopop,Gambi,pop urbaine,2019,130,65,83,-6,14,41,156,8,6,74
Rueda,Chimbala,dembow,2019,130,92,89,-2,5,96,211,7,17,84
Se Prepara 2,Mc Livinho,funk carioca,2019,130,45,65,-9,11,36,147,1,4,49
So Am I,Ava Max,dance pop,2019,130,66,68,-5,35,61,183,4,12,85
Tiro Certo - Ao Vivo,Zé Felipe,funk carioca,2019,130,91,71,-5,71,69,179,66,5,67
Woin Woin feat. RK,Larry,french hip hop,2019,130,64,90,-7,8,70,173,14,6,75
Yesterday,Official HIGE DANdism,anime rock,2019,130,80,54,-4,40,56,299,46,23,90
"Jai Jai Shivshankar (From ""War"")",Vishal Dadlani,desi pop,2019,129,90,83,-5,7,53,231,1,11,57
"Ek Toh Kum Zindagani (From ""Marjaavaan"")",Neha Kakkar,desi pop,2019,128,97,67,-2,6,72,190,69,4,76
No Idea,Don Toliver,rap,2019,128,61,66,-5,22,35,154,32,8,66
quando a bad bater - ao vivo,Luan Santana,funk carioca,2019,128,79,65,-5,53,53,180,18,6,83
Roller,Apache 207,german hip hop,2019,128,76,94,-6,19,68,157,15,28,79
BOP,DaBaby,nc hip hop,2019,127,79,77,-4,13,84,160,1,11,94
Carreira Solo - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,127,93,81,-1,87,92,216,86,4,82
choque térmico - ao vivo,Luan Santana,funk carioca,2019,127,76,74,-6,83,73,180,10,7,68
Trampoline (with ZAYN),SHAED,electropop,2019,127,46,62,-6,14,50,184,7,20,81
Que Calor (feat. J Balvin & El Alfa),Major Lazer,dance pop,2019,126,89,80,-4,29,46,170,28,19,67
Qué Pena,Maluma,latin,2019,126,66,64,-6,34,86,213,2,3,53
Makhna,Tanishk Bagchi,desi pop,2019,125,70,70,-8,16,43,183,59,3,69
Moulaga,Heuss L'enfoiré,french hip hop,2019,125,70,71,-5,10,48,180,5,3,56
Ne reviens pas,Gradur,french hip hop,2019,125,78,93,-3,17,93,189,12,20,85
"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan",Fiersa Besari,indonesian indie,2019,125,83,53,-5,20,25,250,36,5,86
Prendío,Rvfv,trap espanol,2019,125,54,83,-10,13,90,190,11,52,79
Prendio - Remix,Rvfv,trap espanol,2019,125,76,75,-6,8,75,191,19,3,65
Relógio Parado (Ao Vivo),Diego & Arnaldo,sertanejo,2019,125,94,74,-1,97,73,181,11,11,83
Speechless (Full),Naomi Scott,hollywood,2019,125,49,47,-8,12,23,209,10,6,89
Umlilo,DJ Zinhle,kwaito,2019,125,70,70,-5,8,62,237,4,19,94
Don't Start Now,Dua Lipa,dance pop,2019,124,79,79,-5,10,68,183,36,6,63
Jerusalem,Master KG,kwaito house,2019,124,47,88,-7,6,84,343,2,3,91
Pal Pal Dil Ke Paas- Title Track,Arijit Singh,desi pop,2019,124,51,56,-7,6,39,255,5,14,87
S de Saudade,Luíza & Maurílio,sertanejo pop,2019,124,71,71,-4,13,79,175,75,3,96
Se iluminaba,Fred De Palma,italian arena pop,2019,124,69,79,-5,7,62,174,47,3,65
Una volta ancora (feat. Ana Mena),Fred De Palma,italian arena pop,2019,124,64,77,-5,10,59,174,2,6,52
C90 - Remix,John C,argentine hip hop,2019,123,76,87,-5,7,61,316,6,5,75
Baianá,Bakermat,deep euro house,2019,122,76,50,-7,33,49,182,60,6,53
Barrio,Mahmood,italian arena pop,2019,122,70,80,-7,11,57,165,19,4,73
Roses - Imanbek Remix,SAINt JHN,melodic rap,2019,122,72,77,-5,35,90,177,48,20,78
Cin Cin,Alfa,italian arena pop,2019,121,63,70,-4,13,37,180,4,9,79
Boy With Luv (feat. Halsey),BTS,k-pop,2019,120,86,65,-5,19,80,230,4,5,50
"CHARLES MANSON (BUON NATALE2) (feat. Lazza) - feat. Dani Faiv, Nitro",Salmo,italian hip hop,2019,120,83,72,-5,44,48,258,91,4,79
Circles,Post Malone,dfw rap,2019,120,76,70,-3,9,55,215,18,5,90
everything i wanted,Billie Eilish,electropop,2019,120,23,70,-14,11,24,245,34,10,48
"Muqabla (From ""Street Dancer 3D"")",Yash Narvekar,desi pop,2019,120,91,80,-3,39,54,176,19,4,75
Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,italian hip hop,2019,120,73,75,-6,19,27,208,38,8,51
A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,Diego & Victor Hugo,sertanejo pop,2019,119,88,54,-3,93,63,183,33,6,70
Tijolão - Ao Vivo,Jorge & Mateus,sertanejo,2019,119,88,64,-4,34,69,175,27,3,52
3 Batidas - Ao Vivo,Guilherme & Benuto,sertanejo pop,2019,118,71,55,-5,76,53,157,11,7,85
Coronao Now,El Alfa,dembow,2019,118,73,94,-8,18,72,218,2,5,51
"Ghungroo (From ""War"")",Arijit Singh,desi pop,2019,118,73,70,-6,53,86,303,17,6,50
Kalank (Title Track),Arijit Singh,desi pop,2019,118,55,57,-8,9,44,311,46,6,67
lowkey,NIKI,indie r&b,2019,118,49,75,-8,9,23,171,7,20,88
Ride It,Regard,pop edm,2019,118,75,88,-4,11,88,158,40,3,77
Turning Up,ARASHI,j-pop,2019,118,82,77,-5,24,90,183,45,4,68
Aristocrate,Heuss L'enfoiré,french hip hop,2019,117,61,94,-6,10,63,170,7,8,82
Roxanne,Arizona Zervas,pop rap,2019,117,60,62,-6,46,46,164,36,4,80
Señorita,Shawn Mendes,canadian pop,2019,117,55,76,-6,8,75,191,30,8,74
The Box,Roddy Ricch,melodic rap,2019,117,59,90,-7,79,64,197,27,5,90
Akulaleki,Samthing Soweto,afro house,2019,116,67,90,-9,6,34,382,9,4,73
Halu,Feby Putri,NA,2019,116,25,34,-15,11,10,266,5,4,73
"Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)",Mfr Souls,afro house,2019,115,68,82,-8,6,68,353,22,3,74
No Dijeron Nada,Oscu,trap argentino,2019,115,71,70,-5,51,91,187,5,4,91
Teenager Forever,King Gnu,j-pop,2019,115,92,50,-4,34,70,189,2,10,68
Fake News - Ao Vivo,Gustavo Mioto,sertanejo,2019,114,64,80,-3,97,73,175,16,26,54
Fire,DJ Big Sky,NA,2019,114,56,65,-7,5,64,463,63,5,84
Nana Thula,Kabza De Small,afro house,2019,114,52,77,-14,4,59,439,4,7,85
La vie qu'on mène,Ninho,french hip hop,2019,113,76,80,-4,11,46,193,20,4,70
Lorch,Kabza De Small,afro house,2019,113,68,91,-10,7,41,375,31,5,65
Que Mas Pues - Remix,Sech,panamanian pop,2019,113,66,65,-5,12,81,306,58,8,87
Sandton,Kabza De Small,afro house,2019,113,63,88,-12,10,59,412,64,4,45
Tender Love (feat. DJ Maphorisa & Kabza De Small),Sha Sha,afro house,2019,113,39,85,-14,5,45,444,30,30,96
Vula Vala,DJ Maphorisa,afro house,2019,113,59,91,-11,8,14,374,83,4,85
Before You Go,Lewis Capaldi,pop,2019,112,57,46,-5,9,18,215,87,4,79
Labantwana Ama Uber,Semi Tee,amapiano,2019,112,62,87,-10,5,53,384,13,32,82
"Para, Pensa e Volta - Ao Vivo",Yasmin Santos,sertanejo pop,2019,112,79,61,-3,24,57,174,90,6,76
Sukendleleni,Jobe London,afro house,2019,112,72,88,-6,5,24,415,47,20,83
Ve'Eem Tavo'ee Elay (And If You Will Come To Me),Idan Raichel,classic israeli pop,2019,112,88,73,-5,10,23,213,27,3,79
How Do You Sleep?,Sam Smith,pop,2019,111,68,48,-5,8,35,202,65,9,82
Todo Mundo Vai Sofrer - Ao Vivo,Marília Mendonça,sertanejo,2019,111,74,62,-4,41,58,155,32,5,67
Áudio - Ao Vivo em Brasília,Diego & Victor Hugo,sertanejo pop,2019,110,81,61,-5,42,45,190,3,16,90
"Dheeme Dheeme (From ""Pati Patni Aur Woh"")",Tony Kakkar,desi pop,2019,110,97,80,-2,35,69,177,13,4,72
La Rubia - Remix 2,La Nueva Escuela,dembow,2019,110,72,76,-4,38,75,211,14,7,88
Someone You Loved,Lewis Capaldi,pop,2019,110,41,50,-6,11,45,182,21,3,80
Goteo,Duki,argentine hip hop,2019,108,78,47,-4,19,44,164,43,6,88
Liberdade Provisória,Henrique & Juliano,sertanejo universitario,2019,108,68,67,-6,92,70,188,82,3,65
"O Saki Saki (From ""Batla House"")",Neha Kakkar,desi pop,2019,108,96,74,0,36,57,191,61,5,93
STAR,Nimo,german hip hop,2019,108,82,81,-5,17,60,162,29,4,59
Yaad Piya Ki Aane Lagi,Neha Kakkar,desi pop,2019,108,83,86,-4,11,69,257,4,4,55
Contando Lunares (feat. Cruz Cafuné),Don Patricio,trap espanol,2019,106,52,86,-10,5,71,220,26,8,68
Vou Ter Que Superar - Ao Vivo,Matheus & Kauan,pop nacional,2019,106,72,51,-6,87,42,189,29,6,79
China,Anuel AA,latin,2019,105,81,79,-4,8,61,302,38,4,87
Distant,Maes,french hip hop,2019,105,73,75,-6,7,49,162,5,3,69
"Don't Be Shy Again (From ""Bala"")",Sachin-Jigar,desi pop,2019,105,91,80,-4,31,91,164,15,32,93
Elle est bonne sa mère,Vegedream,francoton,2019,105,74,79,-5,34,47,197,NA,NA,48
Hé oh,Gambi,pop urbaine,2019,105,59,83,-5,20,54,178,17,4,73
I.F.L.Y.,Bazzi,pop,2019,105,52,81,-5,13,55,166,16,3,69
Loco,Beéle,NA,2019,105,56,82,-6,5,77,204,9,16,77
Loco,Beéle,NA,2019,105,56,82,-6,5,77,204,8,3,64
My Oh My (feat. DaBaby),Camila Cabello,dance pop,2019,105,49,72,-6,9,38,171,30,4,71
Non Avere Paura,Tommaso Paradiso,italian arena pop,2019,105,68,57,-6,11,24,247,48,4,54
RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,2019,105,72,72,-7,24,67,222,7,4,84
Umbrella,King Gnu,j-pop,2019,105,90,65,-3,5,70,202,39,10,85
Whine Up,Nicky Jam,latin,2019,105,67,82,-6,10,66,215,32,3,91
Keine Liebe,RIN,german cloud rap,2019,104,80,80,-5,31,57,198,1,40,76
Feelings,Lauv,pop,2019,103,47,69,-7,10,25,190,74,3,77
Ve Maahi,Arijit Singh,desi pop,2019,103,55,65,-7,22,29,224,12,5,86
I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,102,68,80,-5,9,84,220,33,8,82
Lose You To Love Me,Selena Gomez,dance pop,2019,102,34,51,-9,21,9,206,2,10,84
Secukupnya,Hindia,indonesian indie,2019,102,80,73,-5,35,93,205,38,9,71
Tusa,KAROL G,latin,2019,101,72,80,-3,6,57,201,41,3,61
Vor der Tür,Gzuz,deep german hip hop,2019,101,73,86,-6,10,20,171,67,4,89
105 F Remix,KEVVO,perreo,2019,100,75,90,-7,29,74,464,6,9,67
Adu Rayu,Yovie Widianto,indonesian pop,2019,100,37,56,-12,11,22,208,12,4,97
B11 (feat. Myke Towers),Rvssian,latin,2019,100,72,76,-5,13,20,252,9,14,77
Blanco,J Balvin,latin,2019,100,71,87,-5,9,59,146,2,7,81
Chandigarh Mein,Badshah,desi hip hop,2019,100,87,81,-2,7,34,205,9,4,85
Dance Like,Harrdy Sandhu,desi pop,2019,100,82,86,-3,30,54,172,82,3,84
"Naah Goriye (From ""Bala"")",B Praak,desi pop,2019,100,77,82,-2,6,72,185,59,24,82
Reste,Maître Gims,french hip hop,2019,100,54,75,-7,10,69,232,22,25,51
"Shaitan Ka Saala (From ""Housefull 4"")",Sohail Sen,desi pop,2019,100,77,84,-5,37,34,147,7,6,81
Takeaway,The Chainsmokers,electropop,2019,100,51,53,-8,10,35,210,59,6,64
Ya No Mas,Fer Palacio,NA,2019,100,68,80,-6,7,88,158,38,5,72
Adore You,Harry Styles,dance pop,2019,99,77,68,-4,10,57,207,47,5,70
Con Altura,ROSALÍA,r&b en espanol,2019,98,69,88,-4,5,75,162,77,4,92
Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,45,4,62
Gigolò (feat. Sfera Ebbasta & Capo Plaza),Lazza,italian hip hop,2019,98,63,80,-9,9,39,164,10,4,58
Méchant,Niska,french hip hop,2019,98,80,53,-4,37,41,191,99,3,61
Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,basshall,2019,98,62,84,-7,10,51,188,0,5,51
Loin de moi,Naza,francoton,2019,97,46,89,-8,6,50,144,11,4,52
Ayy Macarena,Tyga,pop rap,2019,96,63,82,-6,7,72,132,7,3,75
Der Bratan bleibt der gleiche,Capital Bra,german hip hop,2019,96,70,61,-4,57,67,192,14,8,59
Fresa,TINI,latin pop,2019,96,87,78,-3,10,86,166,2,10,87
Hasta Que Salga el Sol,Ozuna,latin,2019,96,82,83,-5,13,60,188,12,8,68
It's You,Ali Gatie,canadian hip hop,2019,96,46,73,-7,19,40,213,33,10,79
Mean It,Lauv,pop,2019,96,45,75,-9,17,34,233,27,29,83
Verte Ir,DJ Luian,latin,2019,96,65,86,-4,8,55,268,3,5,62
BRAVI A CADERE - I polmoni,Marracash,italian hip hop,2019,95,69,61,-6,10,28,200,13,12,84
Chal Bombay,DIVINE,desi hip hop,2019,95,62,86,-7,12,51,174,15,9,93
GANG (feat. Geolier),Samurai Jay,italian hip hop,2019,95,46,80,-11,21,58,162,64,24,77
"Hauli Hauli (From ""De De Pyaar De"")",Garry Sandhu,bhangra,2019,95,98,71,-3,34,57,209,52,4,53
How to Make Gravy,Paul Kelly,australian alternative rock,2019,95,72,40,-7,25,39,269,84,5,99
Indeciso,Reik,latin,2019,95,75,74,-5,11,90,217,50,5,92
Mami,Paloma Mami,latin pop,2019,95,72,80,-6,17,51,195,25,4,80
Oye,TINI,latin pop,2019,95,51,68,-8,18,26,173,81,9,87
Tak Ingin Pisah Lagi,Marion Jola,indonesian pop,2019,95,40,66,-6,14,34,266,56,3,92
Watermelon Sugar,Harry Styles,dance pop,2019,95,82,55,-4,34,56,174,17,29,77
Con Calma,Daddy Yankee,latin,2019,94,86,74,-3,6,66,193,37,3,90
Easy - Remix,Jhay Cortez,latin,2019,94,75,89,-4,15,44,220,32,13,77
Fantasias,Rauw Alejandro,latin,2019,94,70,88,-4,6,79,200,19,3,85
Fuera De Mi Mente,Lérica,spanish pop,2019,94,94,74,-2,5,70,181,94,4,80
"Mummy Nu Pasand (From ""Jai Mummy Di"")",Sunanda Sharma,desi pop,2019,94,97,78,0,35,80,185,49,9,69
Piropo,Noriel,latin,2019,94,75,87,-6,4,77,220,9,6,63
Que Tire Pa Lante,Daddy Yankee,latin,2019,94,90,66,-3,12,71,211,44,30,85
Si Se Da - Remix,Myke Towers,latin,2019,94,67,82,-6,13,77,332,18,4,54
"Tera Ban Jaunga (From ""Kabir Singh"")",Akhil Sachdeva,desi pop,2019,94,53,61,-6,13,40,236,44,3,76
Alguien Me Gusta,Andy Rivera,latin,2019,93,52,67,-4,37,81,169,49,10,83
Aventurero,Yeison Jimenez,colombian pop,2019,93,63,85,-4,13,90,190,28,19,52
Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,93,65,64,-8,8,55,198,66,31,65
Hakujitsu,King Gnu,j-pop,2019,93,90,61,-3,29,75,275,4,4,78
Ik Tera,Maninder Buttar,desi pop,2019,93,71,83,-5,11,49,161,29,7,74
QUE PRETENDES,J Balvin,latin,2019,93,79,64,-4,36,94,222,3,3,73
Aventura,Lunay,latin,2019,92,73,73,-3,10,88,217,4,24,75
Chiasso,Random,italian hip hop,2019,92,45,72,-13,10,46,182,26,5,84
Cuerpo en Venta,Noriel,latin,2019,92,60,70,-6,10,41,254,70,6,75
Location Unknown <U+25D0> - Brooklyn Session,HONNE,uk pop,2019,92,29,51,-7,8,40,328,91,4,79
menina solta,Giulia Be,pop nacional,2019,92,56,63,-7,16,67,150,89,3,75
